transaction_id,amount,transaction_hour,failed_attempts,new_device,unusual_location,transaction_count_1hr,fraud
99,40824,20,2,0,1,14,1
100,2618,23,5,0,0,13,1
101,2077,10,5,0,0,10,1
102,2745,8,1,1,0,1,0
103,48240,1,4,1,1,2,1
104,5308,11,1,0,0,6,0
105,22052,2,3,0,0,10,1
106,39554,2,5,0,0,5,1
107,33209,0,0,0,0,12,1
108,14036,7,0,1,0,14,1
109,12716,21,4,0,0,9,1
110,38710,7,3,1,1,5,1
111,3611,10,2,0,1,2,0
112,26904,8,3,1,0,10,1
113,39002,4,0,0,1,4,1
114,22712,13,0,0,1,9,0
115,8442,2,5,1,0,1,1
116,30585,20,3,0,0,11,1
117,13117,4,3,0,0,1,0
118,48083,4,0,0,1,12,1
119,23649,18,2,1,0,7,0
120,35272,13,4,0,1,11,1
121,11887,3,4,0,0,3,1
122,14089,12,3,1,1,10,1
123,30868,9,4,1,0,2,1
124,19165,17,0,1,0,9,0
125,11015,7,0,0,1,3,0
126,24588,7,3,0,1,2,0
127,42580,6,3,0,1,12,1
128,5106,7,5,1,1,8,1
129,32532,13,3,0,1,10,1
130,47766,18,2,0,1,6,1
131,8160,5,4,1,0,6,1
132,13823,0,3,1,1,10,1
133,27316,22,1,1,0,11,1
134,17462,14,5,1,0,7,1
135,33320,0,1,1,1,7,1
136,6960,16,0,0,0,11,1
137,45503,0,4,1,1,13,1
138,25496,14,3,0,1,6,0
139,256,22,1,0,0,4,0
140,21568,1,4,1,0,11,1
141,22411,13,0,1,1,9,1
142,23469,20,2,1,1,6,1
143,48752,7,5,0,0,4,1
144,41573,7,4,1,0,12,1
145,45201,18,4,1,0,3,1
146,22453,6,2,1,0,4,0
147,18191,18,4,1,1,3,1
148,14870,5,0,1,1,2,1
149,40392,5,0,0,1,14,1
150,6424,2,2,0,1,5,0
151,1728,6,5,0,0,2,1
152,33877,18,3,1,0,6,1
153,16248,7,1,1,1,3,1
154,9964,9,3,1,1,6,1
155,27940,19,4,0,1,11,1
156,22349,14,1,1,1,10,1
157,43635,14,2,1,1,9,1
158,43739,0,2,1,1,1,1
159,42607,19,5,0,1,6,1
160,49130,6,1,1,1,9,1
161,44070,3,0,0,1,11,1
162,2743,5,1,1,0,4,0
163,29517,0,4,0,1,11,1
164,29773,4,0,0,0,12,1
165,46749,22,2,0,0,2,1
166,3677,0,1,1,1,13,1
167,25989,3,3,1,1,4,1
168,48975,21,5,0,0,1,1
169,42991,1,3,0,0,3,1
170,21884,9,5,1,1,10,1
171,18097,4,4,1,0,9,1
172,26155,9,3,0,1,10,1
173,10280,0,1,1,1,5,1
174,15757,21,1,1,1,11,1
175,22026,5,3,1,0,6,0
176,44312,12,1,1,0,3,1
177,23826,14,4,0,1,5,1
178,30130,3,0,1,0,11,1
179,1356,12,4,1,0,8,1
180,6826,23,5,0,0,6,1
181,27301,19,4,0,0,4,1
182,9524,23,5,1,0,2,1
183,40344,14,1,1,0,14,1
184,22009,7,0,1,0,9,0
185,5580,4,1,1,1,13,1
186,29370,14,2,0,0,12,1
187,3798,3,1,0,0,1,0
188,32018,11,5,0,0,1,1
189,32612,12,1,1,0,13,1
190,13595,1,1,1,0,4,0
191,713,18,0,1,0,7,0
192,34816,18,1,1,0,1,1
193,8044,3,0,0,0,9,0
194,28071,3,3,0,1,4,0
195,30353,10,2,1,0,3,1
196,3354,4,0,0,0,1,0
197,46626,19,5,1,0,10,1
198,39403,10,3,1,0,4,1
199,17725,9,0,0,1,9,0
200,44467,7,0,1,1,13,1
201,23988,5,2,1,1,14,1
202,23714,5,5,0,1,10,1
203,1686,7,4,1,1,6,1
204,20130,22,4,1,1,6,1
205,27778,14,0,0,1,1,0
206,49900,13,1,1,1,10,1
207,26786,10,5,0,1,2,1
208,28723,11,3,1,1,11,1
209,37555,12,1,0,1,6,1
210,47373,7,1,0,1,2,1
211,46695,17,5,0,1,3,1
212,904,0,0,1,1,4,1
213,24598,14,0,0,1,11,1
214,38673,7,0,0,1,5,1
215,7442,10,0,0,0,9,0
216,46767,11,4,0,1,12,1
217,21606,11,0,0,0,4,0
218,38609,3,4,1,1,13,1
219,26359,15,4,1,1,11,1
220,21969,3,0,1,0,9,0
221,4981,4,2,1,1,11,1
222,33020,23,3,1,0,10,1
223,44265,4,1,1,0,3,1
224,12738,7,4,1,0,8,1
225,25392,9,5,0,1,12,1
226,37207,16,5,1,1,1,1
227,2377,8,3,0,1,11,1
228,40822,21,5,0,0,9,1
229,40595,18,2,1,0,9,1
230,247,13,5,0,1,10,1
231,23559,7,1,0,1,2,0
232,34748,8,1,0,1,4,1
233,44592,21,4,0,1,13,1
234,15137,10,0,1,1,8,1
235,22721,22,2,1,0,7,0
236,25234,0,4,1,0,1,1
237,27898,13,2,1,0,5,0
238,42157,4,0,1,1,7,1
239,20716,20,5,1,0,4,1
240,44407,13,5,1,0,1,1
241,15758,3,0,1,0,9,0
242,26420,21,4,1,0,14,1
243,49861,22,0,1,0,5,1
244,2861,0,3,0,1,11,1
245,47061,21,1,1,0,2,1
246,6596,22,4,0,1,8,1
247,34804,18,2,0,1,11,1
248,30256,7,3,0,1,13,1
249,41156,14,4,0,1,2,1
250,11461,20,0,1,1,3,1
251,2961,14,0,0,0,14,1
252,1784,8,0,1,0,10,1
253,18277,20,0,1,1,1,1
254,8730,8,2,0,1,11,1
255,19410,9,3,1,1,2,1
256,18393,19,5,0,0,14,1
257,5809,20,1,0,1,7,0
258,23128,8,2,1,0,10,1
259,35203,2,2,1,1,2,1
260,11161,19,5,0,0,6,1
261,37554,10,5,1,1,3,1
262,1852,5,1,1,0,4,0
263,8205,1,1,1,1,11,1
264,8170,6,5,0,0,13,1
265,39434,17,0,0,0,8,1
266,47075,1,2,1,0,14,1
267,47304,16,4,1,0,3,1
268,21968,10,1,1,0,10,1
269,20495,11,1,1,0,6,0
270,30356,18,5,1,0,1,1
271,16696,21,3,0,1,7,0
272,46893,23,4,1,1,8,1
273,31115,6,4,0,1,11,1
274,25249,19,1,1,1,14,1
275,42026,5,0,0,1,8,1
276,16421,20,3,1,0,3,0
277,11885,23,4,0,0,14,1
278,45986,0,1,1,0,10,1
279,2099,16,4,0,0,1,1
280,31666,10,3,0,0,9,1
281,38241,21,3,0,1,13,1
282,47407,17,2,0,1,6,1
283,20982,20,5,0,1,11,1
284,29905,16,5,0,1,9,1
285,7208,6,1,1,0,7,0
286,43066,16,3,0,0,1,1
287,7450,19,2,1,0,12,1
288,42692,8,2,1,1,12,1
289,15201,16,4,1,0,1,1
290,1204,19,4,1,1,6,1
291,4549,21,2,1,0,5,0
292,6345,21,4,0,0,9,1
293,12233,7,3,0,1,2,0
294,29349,16,0,0,0,8,0
295,12924,6,3,1,0,11,1
296,32761,0,2,0,1,5,1
297,5589,12,2,0,0,2,0
298,42455,22,3,0,1,13,1
299,48404,18,4,0,0,10,1
300,2607,23,4,0,0,11,1
301,38410,18,5,1,0,11,1
302,16532,16,2,0,0,12,1
303,2250,12,1,1,0,6,0
304,46990,15,5,1,0,10,1
305,3011,7,4,1,0,8,1
306,47025,18,3,1,0,4,1
307,21407,17,4,1,1,2,1
308,12019,0,3,0,1,12,1
309,2919,13,5,0,0,11,1
310,46810,18,2,0,0,5,1
311,28693,14,4,1,1,12,1
312,24786,17,3,0,0,2,0
313,38517,1,2,0,0,2,1
314,23378,21,1,1,1,6,1
315,25926,16,3,1,0,11,1
316,21345,17,5,1,0,10,1
317,4037,5,1,1,1,9,1
318,22449,18,1,0,0,13,1
319,46264,3,0,1,0,4,1
320,34036,0,4,1,1,6,1
321,20930,7,3,0,0,7,0
322,4785,22,1,0,1,13,1
323,44114,6,0,1,0,11,1
324,4605,2,5,0,0,6,1
325,41964,9,2,1,1,8,1
326,40868,9,3,1,1,4,1
327,45575,18,1,0,0,12,1
328,19880,13,4,0,1,1,1
329,17479,1,0,1,1,7,1
330,6943,0,1,1,0,3,0
331,14423,22,4,1,0,14,1
332,47383,22,1,0,0,6,1
333,3486,17,3,1,1,2,1
334,8804,6,3,1,1,9,1
335,10727,7,3,1,1,1,1
336,5945,0,5,1,1,6,1
337,19788,22,5,1,0,6,1
338,30796,2,0,0,1,5,1
339,49427,23,3,1,0,13,1
340,48454,22,4,1,1,5,1
341,32402,7,1,1,0,1,1
342,39840,21,2,1,0,10,1
343,41969,14,4,0,0,12,1
344,5650,4,5,0,1,5,1
345,29174,2,5,0,0,2,1
346,27693,18,4,1,0,7,1
347,40814,0,5,1,1,3,1
348,9057,14,3,0,0,13,1
349,45764,7,0,0,1,4,1
350,37460,1,1,0,1,3,1
351,44130,2,0,1,0,3,1
352,40497,23,1,1,0,4,1
353,8258,13,1,0,1,5,0
354,18639,23,0,0,0,1,0
355,43534,13,4,0,1,4,1
356,17503,10,1,1,1,12,1
357,36262,15,0,1,1,12,1
358,43575,3,1,1,0,11,1
359,47252,19,2,0,1,8,1
360,32685,4,4,0,0,10,1
361,33878,21,3,1,0,7,1
362,18761,20,1,0,0,9,0
363,3470,13,2,1,0,5,0
364,31266,22,3,0,1,13,1
365,351,15,3,0,0,10,1
366,45286,17,1,0,1,4,1
367,49808,6,0,0,1,8,1
368,749,9,1,1,0,9,0
369,240,6,2,0,1,13,1
370,10542,0,3,1,1,7,1
371,35793,22,1,1,0,14,1
372,6152,20,0,1,1,7,1
373,19828,18,1,0,1,5,0
374,26691,15,4,1,1,4,1
375,34634,18,0,1,1,14,1
376,32795,3,2,1,0,10,1
377,23143,17,3,0,1,1,0
378,619,1,1,0,1,10,1
379,38260,0,0,1,1,10,1
380,34713,14,4,0,1,7,1
381,36681,4,0,1,0,1,1
382,45731,19,5,1,1,1,1
383,7505,10,4,0,0,5,1
384,4064,9,2,1,1,13,1
385,11143,1,3,0,0,9,0
386,18120,2,2,0,0,6,0
387,35827,22,1,1,0,3,1
388,16588,22,0,0,0,13,1
389,10779,11,5,0,0,3,1
390,34227,19,4,1,1,7,1
391,45067,4,4,1,1,6,1
392,834,4,0,0,1,9,0
393,27801,5,5,0,0,6,1
394,40914,8,0,1,1,5,1
395,40378,1,1,0,0,10,1
396,12583,20,2,0,0,7,0
397,40161,11,4,0,1,1,1
398,40024,2,1,0,1,12,1
399,5851,19,2,0,0,7,0
400,19240,21,1,0,0,3,0
401,49739,11,5,0,1,14,1
402,38804,23,4,1,1,9,1
403,29642,16,0,1,1,6,1
404,10697,9,0,1,1,9,1
405,8766,23,2,1,0,13,1
406,23405,13,3,1,1,5,1
407,22059,22,5,0,1,7,1
408,24426,16,2,0,1,13,1
409,45141,17,3,0,0,14,1
410,4830,18,1,0,0,4,0
411,2418,16,5,1,0,7,1
412,12089,13,1,0,0,13,1
413,6705,8,4,0,1,1,1
414,40991,7,5,1,0,7,1
415,4545,1,3,0,1,8,0
416,10943,12,4,0,1,5,1
417,25597,6,0,1,1,2,1
418,22436,8,3,0,1,5,0
419,13453,21,2,0,0,6,0
420,32147,21,0,0,0,12,1
421,13171,10,0,0,0,2,0
422,11016,13,2,0,1,14,1
423,33671,3,5,1,1,6,1
424,28362,12,0,1,1,6,1
425,49776,1,3,1,1,1,1
426,22727,22,4,1,1,14,1
427,31339,4,0,1,0,1,1
428,31074,10,3,1,1,14,1
429,42725,5,1,0,0,11,1
430,4827,17,3,1,1,10,1
431,29799,20,4,1,1,3,1
432,15388,9,3,0,0,14,1
433,2541,3,2,0,0,10,1
434,27286,8,4,1,1,10,1
435,48146,5,5,0,1,12,1
436,14649,1,1,1,1,3,1
437,19558,16,2,0,1,4,0
438,3101,4,5,1,0,2,1
439,48797,5,3,0,1,9,1
440,49206,11,4,0,0,10,1
441,21656,22,1,1,1,12,1
442,21749,20,2,1,0,11,1
443,926,9,5,1,0,14,1
444,32143,21,5,1,1,7,1
445,4192,20,1,1,0,7,0
446,15252,5,3,0,1,6,0
447,39784,7,1,1,0,3,1
448,7129,1,5,1,1,6,1
449,8037,11,0,0,0,14,1
450,39617,12,2,0,1,12,1
451,28990,20,1,1,1,8,1
452,37283,6,5,0,0,8,1
453,17069,9,3,0,0,11,1
454,46235,12,5,1,0,13,1
455,18127,16,3,0,0,9,0
456,26308,20,1,0,1,1,0
457,21186,13,3,1,0,14,1
458,8361,1,4,1,1,1,1
459,17264,21,4,0,0,3,1
460,14148,10,4,0,1,3,1
461,28301,0,0,1,1,10,1
462,37995,18,1,0,1,8,1
463,47080,20,5,0,1,10,1
464,25995,3,5,0,0,1,1
465,25366,18,0,1,0,13,1
466,32267,20,3,0,1,2,1
467,8358,10,0,0,0,2,0
468,5999,7,3,1,0,3,0
469,1200,10,3,0,1,13,1
470,23994,3,2,0,0,6,0
471,34749,16,5,1,0,1,1
472,9254,6,4,1,0,2,1
473,1131,7,3,1,1,13,1
474,29355,2,2,1,0,13,1
475,16946,21,5,0,1,1,1
476,46225,1,4,0,0,5,1
477,7855,22,3,1,0,13,1
478,5287,14,3,1,0,13,1
479,49761,23,0,0,1,7,1
480,20106,21,0,1,1,8,1
481,45593,21,5,0,0,10,1
482,49062,4,4,1,1,1,1
483,46002,23,3,0,0,7,1
484,3393,0,5,1,1,13,1
485,13550,3,5,1,1,5,1
486,29425,14,1,0,0,10,1
487,9712,19,0,1,0,1,0
488,17014,18,4,0,0,3,1
489,47943,2,3,0,0,7,1
490,8180,19,5,0,1,10,1
491,19581,10,3,0,1,1,0
492,1729,16,1,0,1,7,0
493,3556,12,4,1,0,5,1
494,13334,10,5,1,0,1,1
495,7303,1,3,0,1,1,0
496,19178,8,0,1,0,14,1
497,27982,1,1,0,1,1,0
498,9485,20,4,1,1,11,1
499,44128,8,1,1,1,9,1
500,13346,8,0,1,1,11,1
501,30495,7,4,1,1,13,1
502,13295,16,1,0,0,3,0
503,29174,0,2,0,0,13,1
504,29949,10,0,1,0,5,0
505,43969,7,0,1,1,11,1
506,43275,9,0,0,1,10,1
507,35297,6,2,1,1,12,1
508,29272,2,2,0,1,9,0
509,26261,2,3,0,0,6,0
510,37270,17,5,0,0,12,1
511,26696,4,1,1,1,9,1
512,38699,11,3,0,1,8,1
513,23099,11,1,1,1,8,1
514,14119,18,5,0,0,1,1
515,32630,5,2,1,0,13,1
516,31893,1,5,1,0,9,1
517,2899,11,2,1,1,6,1
518,40208,18,5,0,1,9,1
519,23339,4,3,0,0,3,0
520,44740,11,4,1,1,12,1
521,35307,16,3,1,0,3,1
522,9873,16,1,1,1,6,1
523,42025,9,3,0,0,9,1
524,9590,22,0,0,1,7,0
525,16414,16,1,0,0,14,1
526,4661,14,5,0,0,13,1
527,27713,11,1,1,0,3,0
528,38696,15,4,1,0,3,1
529,31027,23,2,0,0,2,1
530,29218,18,5,0,0,9,1
531,49165,7,1,1,1,13,1
532,25521,20,5,0,1,3,1
533,22737,16,5,0,1,11,1
534,901,22,5,0,0,5,1
535,18121,4,2,0,0,14,1
536,6883,21,3,0,1,14,1
537,11988,15,5,0,0,9,1
538,35245,5,0,1,0,8,1
539,26194,7,4,0,0,2,1
540,4050,17,2,0,0,3,0
541,5102,11,1,1,0,2,0
542,35556,14,2,1,1,8,1
543,28124,8,1,1,1,6,1
544,38205,12,2,0,1,6,1
545,40820,14,1,1,1,12,1
546,32370,9,5,0,1,9,1
547,38354,15,3,0,0,8,1
548,46297,6,1,0,0,4,1
549,3963,16,1,1,0,12,1
550,17500,22,0,1,0,4,0
551,24157,20,1,1,1,9,1
552,20814,21,0,1,1,1,1
553,43454,6,4,1,1,13,1
554,20541,13,5,0,0,2,1
555,38544,14,0,0,1,2,1
556,3423,20,3,0,0,13,1
557,12211,6,5,0,1,13,1
558,32046,8,0,1,1,6,1
559,27172,18,5,1,0,4,1
560,34900,15,5,0,0,13,1
561,27400,7,5,1,1,11,1
562,27522,17,4,1,1,10,1
563,28811,22,3,0,0,13,1
564,25401,17,2,0,1,3,0
565,23182,19,2,1,1,3,1
566,49099,6,0,1,0,3,1
567,15355,2,5,0,1,6,1
568,9867,17,0,0,0,14,1
569,11311,9,4,0,1,8,1
570,467,6,4,1,0,11,1
571,41626,16,1,0,1,7,1
572,20408,13,4,0,0,14,1
573,3317,23,1,1,1,4,1
574,17259,2,3,1,0,11,1
575,24102,11,0,1,1,12,1
576,38563,12,3,1,1,4,1
577,26142,1,4,1,1,11,1
578,11388,2,3,0,1,10,1
579,462,4,3,0,1,11,1
580,7593,10,3,1,1,11,1
581,40405,7,4,1,1,14,1
582,33546,22,5,1,1,11,1
583,23598,22,3,1,1,2,1
584,27434,11,1,1,0,14,1
585,44475,6,4,0,0,1,1
586,38806,14,3,0,1,9,1
587,18938,23,5,0,0,12,1
588,35785,16,4,0,1,12,1
589,47345,3,2,1,1,2,1
590,48866,21,5,0,0,13,1
591,17556,12,1,1,1,8,1
592,20513,17,3,1,1,9,1
593,18005,0,2,1,0,4,0
594,37891,15,2,0,0,8,1
595,5154,12,4,1,1,9,1
596,34961,9,2,0,0,10,1
597,23240,11,1,0,0,10,1
598,7407,1,1,1,1,5,1
599,32529,22,0,1,0,13,1
600,44861,2,1,1,0,14,1
601,36258,9,5,0,1,7,1
602,20200,1,2,1,0,10,1
603,5694,22,1,0,0,4,0
604,43336,12,4,1,1,1,1
605,47370,12,0,1,1,3,1
606,2964,17,2,0,1,5,0
607,21402,2,0,0,0,3,0
608,46402,6,2,0,1,12,1
609,44962,13,4,0,1,13,1
610,14447,19,0,0,0,11,1
611,41605,16,3,0,1,7,1
612,47009,20,5,1,1,12,1
613,778,11,5,1,1,9,1
614,748,15,2,0,1,12,1
615,40004,23,3,1,0,6,1
616,47330,11,0,0,1,13,1
617,13973,14,3,1,1,10,1
618,16829,9,3,1,0,1,0
619,7450,6,0,0,1,7,0
620,24516,19,4,0,0,3,1
621,36989,4,3,0,0,5,1
622,4410,0,3,1,0,10,1
623,35320,16,4,0,1,4,1
624,17151,2,3,1,0,10,1
625,32357,12,3,0,0,5,1
626,5536,13,3,1,0,5,0
627,8385,23,5,1,1,6,1
628,21414,17,1,0,1,14,1
629,37309,3,4,1,1,10,1
630,23626,17,3,1,1,12,1
631,31717,4,5,0,1,10,1
632,11180,15,4,1,1,13,1
633,22022,0,2,0,1,13,1
634,40469,20,2,0,0,11,1
635,1217,13,3,0,0,6,0
636,27242,14,5,0,0,8,1
637,1112,8,5,1,0,8,1
638,18590,14,4,1,1,11,1
639,24294,16,4,1,0,9,1
640,21595,23,5,0,0,8,1
641,21739,3,4,1,0,13,1
642,11224,11,5,1,0,11,1
643,22975,4,1,0,1,2,0
644,37547,4,5,0,1,14,1
645,9398,10,2,1,1,14,1
646,23764,5,4,0,0,12,1
647,38152,6,5,0,1,10,1
648,8974,23,5,0,0,12,1
649,37148,13,4,0,1,11,1
650,24444,23,1,1,1,1,1
651,6851,10,1,0,1,10,1
652,37664,12,4,0,1,2,1
653,6781,1,0,0,1,2,0
654,48186,6,4,0,0,12,1
655,23675,19,4,0,1,3,1
656,17387,3,1,0,0,10,1
657,35357,7,1,0,0,7,1
658,7106,19,4,0,0,2,1
659,11566,21,4,1,0,14,1
660,44311,20,4,0,0,1,1
661,1592,18,1,1,1,14,1
662,21727,12,4,0,1,6,1
663,46782,13,4,0,1,9,1
664,39131,9,3,0,1,3,1
665,27619,10,0,0,0,6,0
666,23372,1,2,1,1,3,1
667,19115,8,0,0,1,14,1
668,17974,16,3,0,0,13,1
669,22606,2,2,1,0,1,0
670,27012,23,4,1,1,14,1
671,28345,5,3,0,1,13,1
672,13857,4,4,1,0,12,1
673,42398,4,1,1,1,5,1
674,26482,21,5,1,1,10,1
675,17799,14,3,0,1,14,1
676,41509,22,1,0,1,13,1
677,26306,16,3,0,0,11,1
678,40312,8,3,1,0,4,1
679,37130,2,1,0,0,7,1
680,1374,19,2,1,1,6,1
681,25781,16,0,0,1,10,1
682,35959,9,4,0,1,7,1
683,23853,2,3,1,1,5,1
684,19920,17,4,0,1,4,1
685,34628,17,5,1,0,7,1
686,6638,16,1,1,1,7,1
687,38119,23,4,0,1,6,1
688,26840,2,1,1,0,8,0
689,25339,2,4,0,1,4,1
690,28228,5,0,0,0,10,1
691,28760,12,0,1,0,5,0
692,15535,23,0,0,0,4,0
693,44532,14,0,1,0,12,1
694,20702,8,0,0,0,1,0
695,4798,3,0,0,1,12,1
696,21283,13,1,0,0,8,0
697,9485,4,3,0,0,1,0
698,3759,1,4,0,1,5,1
699,30405,10,0,1,1,6,1
700,13166,8,1,1,0,6,0
701,25520,23,1,1,1,13,1
702,42394,2,1,1,1,5,1
703,42968,8,3,1,0,3,1
704,39348,2,4,1,0,5,1
705,43006,1,3,0,1,12,1
706,14733,11,2,0,0,8,0
707,554,9,1,1,0,14,1
708,34032,8,2,1,1,2,1
709,34349,14,5,0,0,6,1
710,28066,7,0,0,0,9,0
711,24010,4,0,0,0,8,0
712,33641,10,3,1,0,14,1
713,17362,1,4,1,0,11,1
714,37847,23,2,1,1,8,1
715,46246,14,4,0,1,8,1
716,49335,5,3,0,0,13,1
717,2155,7,0,1,1,7,1
718,36445,4,4,1,0,8,1
719,45790,15,4,0,0,13,1
720,22750,17,0,0,0,6,0
721,34670,5,2,0,0,2,1
722,37728,4,0,0,0,2,1
723,20609,15,4,1,1,8,1
724,27559,12,2,0,1,11,1
725,27910,4,2,0,0,1,0
726,11053,12,0,0,1,6,0
727,21782,16,4,1,0,13,1
728,25876,17,3,1,1,6,1
729,30404,7,4,0,0,11,1
730,13893,12,1,0,1,4,0
731,44522,18,5,0,0,12,1
732,48579,2,3,1,0,11,1
733,6240,23,2,1,1,13,1
734,17690,7,3,1,1,11,1
735,38463,1,2,0,0,13,1
736,42406,7,2,1,1,10,1
737,44647,12,3,0,0,3,1
738,40871,12,2,0,1,13,1
739,3380,0,2,0,1,11,1
740,19137,5,1,1,0,3,0
741,41480,23,4,0,1,13,1
742,24554,18,4,1,1,13,1
743,7164,15,5,1,0,1,1
744,13373,7,5,0,1,3,1
745,34171,0,1,0,0,4,1
746,11025,15,5,1,0,11,1
747,11073,8,3,0,0,11,1
748,21497,12,0,1,0,5,0
749,24983,10,0,0,0,3,0
750,24009,12,0,1,1,6,1
751,717,20,1,1,0,11,1
752,29753,9,1,1,0,14,1
753,9387,3,2,1,1,12,1
754,46477,5,0,0,1,5,1
755,36537,6,3,0,1,3,1
756,19179,4,5,1,0,6,1
757,40301,10,3,1,0,6,1
758,31971,12,5,0,0,14,1
759,33357,18,0,0,1,8,1
760,27405,22,0,0,0,2,0
761,37782,9,0,0,1,1,1
762,4885,9,1,0,0,4,0
763,20209,10,5,0,1,7,1
764,38860,20,1,1,0,11,1
765,47655,6,1,0,0,10,1
766,40130,17,4,0,0,3,1
767,38138,3,3,1,1,3,1
768,13266,1,3,0,1,5,0
769,35597,13,2,0,0,5,1
770,31521,12,1,0,0,13,1
771,17358,11,5,0,0,10,1
772,27582,6,4,0,1,3,1
773,34399,1,4,1,0,9,1
774,45495,12,3,0,0,4,1
775,5763,13,1,1,0,13,1
776,49457,16,2,1,0,13,1
777,4854,8,1,0,1,3,0
778,10186,16,0,1,1,11,1
779,59,7,1,0,0,2,0
780,19305,1,0,1,0,10,1
781,23843,23,0,1,1,13,1
782,29598,12,2,0,1,11,1
783,37942,2,5,0,0,9,1
784,1065,15,3,0,1,4,0
785,27762,5,1,0,1,3,0
786,35011,18,0,0,0,7,1
787,8465,6,1,1,1,8,1
788,46368,9,5,1,1,11,1
789,47330,8,3,1,0,14,1
790,23883,1,5,1,0,2,1
791,4208,14,3,1,1,7,1
792,20359,4,4,1,0,12,1
793,7020,21,3,1,1,5,1
794,6988,3,2,0,0,11,1
795,21218,19,5,0,1,5,1
796,46590,3,0,1,0,3,1
797,20434,17,4,1,1,5,1
798,18067,3,2,0,1,12,1
799,10394,16,1,0,1,2,0
800,40084,11,5,0,0,4,1
801,8752,21,0,0,0,6,0
802,434,16,3,1,1,1,1
803,454,9,0,0,1,10,1
804,40993,21,1,1,0,4,1
805,47976,0,4,1,0,6,1
806,29239,21,4,1,0,9,1
807,12813,23,5,0,0,14,1
808,18434,17,4,0,0,11,1
809,32656,17,5,1,0,11,1
810,9910,13,5,1,1,13,1
811,38807,14,5,1,0,2,1
812,15156,11,3,0,1,11,1
813,23624,3,2,1,0,7,0
814,23574,2,5,0,0,6,1
815,3686,19,5,1,1,2,1
816,10966,11,2,1,1,8,1
817,4859,6,0,1,0,7,0
818,32251,10,5,0,1,11,1
819,13506,0,3,0,1,5,0
